Station;Flughafen;Flughafen;Flughafen;Flughafen
Messkomponente;Ozon;Stickstoffdioxid;Stickstoffmonoxid;Kohlenstoffmonoxid
Einheit;µg/m³;µg/m³;µg/m³;mg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte

23.03.2023 11:00;68;2;2;0.10
23.03.2023 12:00;75;2;2;0.10
23.03.2023 13:00;77;2;2;0.10
23.03.2023 14:00;69;2;2;0.10
23.03.2023 15:00;68;5;2;0.10
23.03.2023 16:00;80;2;2;0.10
23.03.2023 17:00;74;7;2;0.10
23.03.2023 18:00;72;8;2;0.10
23.03.2023 19:00;49;26;2;0.23
23.03.2023 20:00;44;33;2;0.25
23.03.2023 21:00;49;26;2;0.20
23.03.2023 22:00;54;23;2;0.10
23.03.2023 23:00;50;21;2;0.23
24.03.2023 00:00;46;16;2;0.20
24.03.2023 01:00;48;11;2;0.10
24.03.2023 02:00;49;8;2;0.10
24.03.2023 03:00;54;5;2;0.10
24.03.2023 04:00;55;2;2;0.10
24.03.2023 05:00;54;2;2;0.10
24.03.2023 06:00;57;5;2;0.10
24.03.2023 07:00;50;13;2;0.10
24.03.2023 08:00;49;16;2;0.10
24.03.2023 09:00;59;13;2;0.10
24.03.2023 10:00;80;2;2;
24.03.2023 11:00;77;5;2;0.10