Station;Kieler Straße;Kieler Straße;Kieler Straße;Kieler Straße
Messkomponente;Stickstoffdioxid;Stickstoffdioxid (4m);Stickstoffmonoxid;Stickstoffmonoxid (4m)
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte

23.03.2023 11:00;38;40;23;21
23.03.2023 12:00;38;41;22;22
23.03.2023 13:00;42;44;28;23
23.03.2023 14:00;54;53;43;34
23.03.2023 15:00;42;43;24;21
23.03.2023 16:00;58;63;36;38
23.03.2023 17:00;79;86;57;66
23.03.2023 18:00;67;70;35;38
23.03.2023 19:00;82;82;44;40
23.03.2023 20:00;56;55;16;12
23.03.2023 21:00;52;51;20;16
23.03.2023 22:00;33;32;8;6
23.03.2023 23:00;31;30;5;6
24.03.2023 00:00;39;39;8;8
24.03.2023 01:00;38;38;6;5
24.03.2023 02:00;22;22;2;2
24.03.2023 03:00;20;21;2;2
24.03.2023 04:00;22;22;2;2
24.03.2023 05:00;22;22;6;2
24.03.2023 06:00;25;23;14;8
24.03.2023 07:00;31;30;15;13
24.03.2023 08:00;44;43;24;20
24.03.2023 09:00;31;32;13;13
24.03.2023 10:00;26;27;13;14
24.03.2023 11:00;23;25;8;9