Station;Max-Brauer-Allee II;Max-Brauer-Allee II;Max-Brauer-Allee II;Max-Brauer-Allee II;Max-Brauer-Allee II
Messkomponente;Stickstoffdioxid;Stickstoffdioxid (4m);Stickstoffmonoxid;Stickstoffmonoxid (4m);Kohlenstoffmonoxid
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;mg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte

23.03.2023 11:00;29;25;16;10;0.22
23.03.2023 12:00;27;23;17;11;0.24
23.03.2023 13:00;32;28;21;14;0.25
23.03.2023 14:00;36;32;19;14;0.31
23.03.2023 15:00;28;25;14;10;0.29
23.03.2023 16:00;35;30;20;13;0.27
23.03.2023 17:00;47;41;25;15;0.32
23.03.2023 18:00;44;38;22;13;0.34
23.03.2023 19:00;65;60;27;17;0.55
23.03.2023 20:00;51;48;16;9;0.27
23.03.2023 21:00;38;37;10;9;0.30
23.03.2023 22:00;25;25;5;2;0.21
23.03.2023 23:00;24;24;4;2;0.10
24.03.2023 00:00;28;29;5;2;0.10
24.03.2023 01:00;28;29;2;2;0.10
24.03.2023 02:00;21;21;2;2;0.10
24.03.2023 03:00;21;21;2;2;0.10
24.03.2023 04:00;18;17;2;2;0.10
24.03.2023 05:00;20;20;2;2;0.10
24.03.2023 06:00;19;20;13;11;0.10
24.03.2023 07:00;24;22;7;5;0.10
24.03.2023 08:00;32;31;14;10;0.26
24.03.2023 09:00;25;22;13;9;0.10
24.03.2023 10:00;21;17;13;8;0.10
24.03.2023 11:00;23;18;14;9;0.10