Station;Finkenwerder West;Finkenwerder West
Messkomponente;Stickstoffdioxid;Stickstoffmonoxid
Einheit;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Stundenwerte;Stundenwerte

23.03.2023 11:00;7;2
23.03.2023 12:00;7;2
23.03.2023 13:00;8;2
23.03.2023 14:00;8;2
23.03.2023 15:00;7;2
23.03.2023 16:00;10;2
23.03.2023 17:00;9;2
23.03.2023 18:00;11;2
23.03.2023 19:00;11;2
23.03.2023 20:00;9;2
23.03.2023 21:00;9;2
23.03.2023 22:00;7;2
23.03.2023 23:00;4;2
24.03.2023 00:00;2;2
24.03.2023 01:00;2;2
24.03.2023 02:00;2;2
24.03.2023 03:00;2;2
24.03.2023 04:00;2;2
24.03.2023 05:00;2;2
24.03.2023 06:00;2;2
24.03.2023 07:00;2;2
24.03.2023 08:00;2;2
24.03.2023 09:00;2;2
24.03.2023 10:00;2;2
24.03.2023 11:00;2;2