Station;Hafen/Kl. Grasbrook;Hafen/Kl. Grasbrook;Hafen/Kl. Grasbrook
Messkomponente;Schwefeldioxid;Stickstoffdioxid;Stickstoffmonoxid
Einheit;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Stundenwerte;Stundenwerte;Stundenwerte

23.03.2023 11:00;3;25;8
23.03.2023 12:00;3;21;8
23.03.2023 13:00;3;26;13
23.03.2023 14:00;3;25;13
23.03.2023 15:00;3;22;10
23.03.2023 16:00;3;32;12
23.03.2023 17:00;6;34;10
23.03.2023 18:00;3;40;10
23.03.2023 19:00;3;45;6
23.03.2023 20:00;3;32;5
23.03.2023 21:00;3;19;2
23.03.2023 22:00;3;23;2
23.03.2023 23:00;3;20;2
24.03.2023 00:00;3;24;5
24.03.2023 01:00;3;22;5
24.03.2023 02:00;3;14;2
24.03.2023 03:00;3;12;2
24.03.2023 04:00;3;11;2
24.03.2023 05:00;3;11;2
24.03.2023 06:00;3;17;6
24.03.2023 07:00;3;23;10
24.03.2023 08:00;3;23;11
24.03.2023 09:00;3;27;9
24.03.2023 10:00;3;26;9
24.03.2023 11:00;3;25;9