Station;Sternschanze;Sternschanze;Sternschanze;Sternschanze
Messkomponente;Schwefeldioxid;Ozon;Stickstoffdioxid;Stickstoffmonoxid
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte

23.03.2023 11:00;3;76;11;2
23.03.2023 12:00;3;82;9;2
23.03.2023 13:00;3;79;10;2
23.03.2023 14:00;3;70;17;2
23.03.2023 15:00;3;79;13;2
23.03.2023 16:00;3;89;13;2
23.03.2023 17:00;3;82;18;2
23.03.2023 18:00;3;77;19;2
23.03.2023 19:00;3;67;32;2
23.03.2023 20:00;3;53;42;2
23.03.2023 21:00;3;69;24;2
23.03.2023 22:00;3;55;33;2
23.03.2023 23:00;3;54;27;2
24.03.2023 00:00;3;47;28;2
24.03.2023 01:00;3;48;20;2
24.03.2023 02:00;3;57;17;2
24.03.2023 03:00;3;57;17;2
24.03.2023 04:00;3;57;13;2
24.03.2023 05:00;3;57;17;2
24.03.2023 06:00;3;59;19;2
24.03.2023 07:00;3;54;23;2
24.03.2023 08:00;3;52;25;2
24.03.2023 09:00;3;70;15;2
24.03.2023 10:00;3;84;9;2
24.03.2023 11:00;3;86;9;2